pi,x1,x2,x3
0.171794797,5.6498996185,3.8851802403,5.6520483519
0.2574078395,13.504202395,11.588785047,8.6926028302
0.1330786281,4.3445773168,2.5901201602,4.2988572136
0.1211794214,3.4988144663,2.7636849132,4.2720409258
0.1187733318,2.5537622924,1.2950600801,4.3132967532
0.1499650023,2.821403379,12.750333778,4.2287223071
0.1320724452,3.2988272577,3.831775701,4.663971286
0.3721564396,18.751971853,23.698264353,11.099880358
0.1559583528,7.4499364342,3.9786381843,5.6953669706
0.1142236351,2.1326791075,2.6168224299,3.8326663642
0.1790130658,4.6888009201,7.2763684914,6.61330913
0.1193420439,3.4561089389,5.4472630174,3.6552663064
0.1255541297,3.3827957876,1.2683578104,4.2039688106
0.112080028,3.6274029523,2.0293724967,4.1317711127
0.1155360476,3.1777016479,1.7757009346,4.150336235
0.1606830378,4.2977819545,4.8197596796,4.781550394
0.1188608259,3.0706437833,2.17623498,4.4783200628
0.1132174522,2.2212647893,2.0160213618,3.4386732126
0.1129112226,4.6087810115,2.2429906542,3.7315895871
0.1161922538,3.4626440947,1.9492656876,4.0657617889
